company_names,ratings,reviews_count,salary_count,interview_count,jobs_count,company_sector,locations,benefits_count,page_num
Infra.Market,4.0,1.8k,3.6k,275,10,Building Material,Mumbai +128 other locations,35,28
Stellar Migration,1.3,1.8k,--,2,--,Other,Dubai +7 other locations,8,28
TELUS Digital,3.6,1.8k,9.5k,133,31,IT Services & Consulting,Noida +25 other locations,35,28
SS&C TECHNOLOGIES,3.3,1.8k,13.3k,196,80,IT Services & Consulting,Mumbai +30 other locations,197,28
Cafe Coffee Day,3.7,1.8k,3.8k,79,8,Hospitality,Bangalore / Bengaluru +104 other locations,179,28
Dhani Loans and Services,3.9,1.8k,4.3k,70,22,NBFC,Gurgaon / Gurugram +187 other locations,41,28
MetLife,4.1,1.8k,9.2k,101,46,Insurance,Noida +44 other locations,235,29
Kalyan Jewellers,4.4,1.7k,1.5k,78,13,Jewellery,Thrissur +155 other locations,57,29
Future Retail,4.4,1.7k,3.8k,57,1,Retail,Mumbai +197 other locations,249,29
DIVI'S Laboratories,3.6,1.7k,6.7k,99,--,Pharma,Visakhapatnam +35 other locations,175,29
Godrej Properties,3.6,1.7k,8.5k,123,4,Real Estate,Mumbai +34 other locations,106,29
Haldiram Foods International Limited,3.8,1.7k,5.8k,154,--,FMCG,Nagpur +164 other locations,99,29
Tata Communications Transformation Services,3.8,1.7k,8.3k,101,--,Telecom,Pune +95 other locations,170,29
USHA International,4.1,1.7k,4.7k,112,10,Consumer Electronics & Appliances,Gurgaon / Gurugram +147 other locations,162,29
Hindustan Petroleum,4.2,1.7k,5.8k,115,--,Oil & Gas,Mumbai +252 other locations,136,29
Security and Intelligence Services (India),4.1,1.7k,4.5k,78,38,Law Enforcement & Security,New Delhi +196 other locations,134,29
Reckitt Benckiser,4.0,1.7k,6.3k,105,46,FMCG,Gurgaon / Gurugram +135 other locations,174,29
Digit Insurance,3.8,1.7k,5.7k,231,94,Insurance,Bangalore / Bengaluru +86 other locations,101,29
USV,4.0,1.7k,5.7k,86,29,Pharma,Mumbai +106 other locations,171,29
Vedantu,3.3,1.7k,8.7k,197,23,EdTech,Bangalore / Bengaluru +70 other locations,159,29
BT Business,3.9,1.7k,9k,90,--,Telecom,Gurgaon / Gurugram +12 other locations,260,29
Isgec Heavy Engineering,3.8,1.7k,6.9k,143,52,Engineering & Construction,Noida +90 other locations,133,29
HDFC Securities,3.4,1.7k,5.9k,124,46,Financial Services,Mumbai +185 other locations,137,29
Bata,3.5,1.7k,4.1k,83,8,Fashion & Textile,Gurgaon / Gurugram +147 other locations,118,29
Pine Labs,3.3,1.7k,7.3k,135,65,FinTech,Noida +118 other locations,116,29
NEC,4.0,1.7k,5.5k,78,17,IT Services & Consulting,Noida +54 other locations,78,29
Exela Technologies,3.3,1.7k,7.7k,100,98,BPO,Chennai +26 other locations,75,30
LivSpace,3.3,1.7k,8k,166,108,Architecture & Interior Design,Bangalore / Bengaluru +53 other locations,92,30
Air India,3.4,1.7k,7.5k,199,45,Aviation,New Delhi +64 other locations,152,30
Metro Cash & Carry,4.0,1.7k,4.8k,74,--,Retail,Bangalore / Bengaluru +88 other locations,167,30
Mother Dairy Fruit & Vegetable,4.0,1.7k,4.9k,100,--,Food Processing,New Delhi +127 other locations,151,30
Indian Navy,4.6,1.7k,3.4k,35,--,Defence & Aerospace,Mumbai +75 other locations,244,30
Annapurna Finance,3.9,1.7k,3.9k,84,3,NBFC,Bhubaneswar +391 other locations,126,30
Adani Green Energy,3.9,1.7k,5.7k,152,--,Power,Ahmedabad +114 other locations,79,30
Cavinkare,4.0,1.7k,4.8k,69,10,FMCG,Chennai +173 other locations,142,30
Sysnet Global Technologies,3.7,1.7k,4.2k,142,565,IT Services & Consulting,New Delhi +152 other locations,83,30
Granules India Limited,3.8,1.7k,6.2k,84,3,Pharma,Hyderabad / Secunderabad +22 other locations,159,30
BVG India,4.3,1.7k,3.9k,166,93,Facility Management Services,Pune +130 other locations,99,30
Provana,3.9,1.7k,4k,173,40,BPO,Noida +11 other locations,249,30
FactSet,3.7,1.6k,10.4k,229,46,Analytics & KPO,Hyderabad / Secunderabad +17 other locations,185,30
Medanta the Medicity,4.0,1.6k,5k,126,77,Healthcare,Gurgaon / Gurugram +47 other locations,147,30
Orange Business,4.2,1.6k,8.9k,112,6,IT Services & Consulting,Gurgaon / Gurugram +52 other locations,237,30
Hitachi Astemo,4.1,1.6k,6.2k,133,--,Auto Components,Neemrana +51 other locations,119,30
Rane (Madras),3.9,1.6k,4.9k,94,23,Auto Components,Chennai +56 other locations,162,30
American Broadcasting Company,4.0,1.6k,33.3k,587,9,Engineering & Construction,Bangalore / Bengaluru +106 other locations,9,30
Caterpillar Inc,4.1,1.6k,10.5k,206,120,Industrial Machinery,Chennai +43 other locations,134,30
TTEC India,3.7,1.6k,5.3k,187,17,BPO,Ahmedabad +34 other locations,152,31
DHL Express,4.1,1.6k,6.1k,77,--,Logistics,Mumbai +92 other locations,170,31
JSW Bhushan Power & Steel,4.0,1.6k,4.9k,75,--,Iron & Steel,Jharsuguda +65 other locations,176,31
Yamaha Motor,4.1,1.6k,5.1k,86,16,Automobile,Chennai +154 other locations,177,31
Frankfinn Institute of Air Hostess Training,3.8,1.6k,3.2k,121,68,Education & Training,Gurgaon / Gurugram +61 other locations,170,31
Cushman & Wakefield,4.2,1.6k,6.3k,112,207,Real Estate,Gurgaon / Gurugram +44 other locations,129,31
HighRadius,2.6,1.6k,8.7k,208,32,Software Product,Hyderabad / Secunderabad +15 other locations,82,31
KONE,4.1,1.6k,5.6k,134,30,Industrial Machinery,Chennai +72 other locations,191,31
L.G.Balakrishnan & Bros,3.5,1.6k,5.7k,81,1,Auto Components,Coimbatore +61 other locations,119,31
Tata Play,4.0,1.6k,4.6k,89,--,Broadcasting,Mumbai +222 other locations,181,31
Johnson & Johnson,4.0,1.6k,5.8k,115,9,Healthcare,Mumbai +169 other locations,186,31
BA Continuum,4.0,1.6k,10k,111,--,IT Services & Consulting,Hyderabad / Secunderabad +18 other locations,289,31
Rungta Mines,4.0,1.6k,5.2k,173,--,Metals & Mining,Chaibasa +56 other locations,58,31
MagicBricks,4.0,1.6k,4.4k,348,33,Internet,Noida +34 other locations,72,31
Wipro Enterprises Ltd,3.8,1.6k,8k,202,96,FMCG,Bangalore / Bengaluru +121 other locations,434,31
Matrimony.com,4.0,1.6k,4.4k,101,36,Internet,Chennai +63 other locations,66,31
Compass Group Support Services,4.0,1.6k,5.3k,84,44,Facility Management Services,Bangalore / Bengaluru +76 other locations,141,31
